service,rps,avg,0.50,0.90,0.95,0.85
adservice,143.52666666666667,23.701054391750663,9.0,21.0,28.406471183013114,18.0
cartservice,5.616666666666666,1114.173293768546,636.0,2152.0,3172.25,1595.0
checkoutservice,22.39666666666667,288755.4264027385,208024.725,591359.7250000001,757732.1062499995,496849.0326530612
currencyservice,440.78333333333336,491.9069459674065,229.96139871209124,962.2263840365492,1568.8235682886311,680.5247688321411
emailservice,22.393333333333334,345.82390592438225,192.7,573.5888888888887,983.3562499999991,431.7591836734694
frontend,303.0966666666667,111057.9775429181,90184.46858056822,227917.5578455198,309151.5070821881,205171.12838479126
paymentservice,21.333333333333332,784.53109375,514.3299999999999,1486.0000000000002,2206.0,1111.438775510204
productcatalogservice,615.8266666666667,1.4802704224132333,1.0,1.0,2.0,1.0
recommendationservice,220.12333333333333,21698.197101624846,4267.398534242198,72702.12346920236,86359.47814035085,60684.93577149786
redis
shippingservice,78.43333333333334,278.8565235869103,87.0,600.3161616161615,1013.3244047619048,426.59025032938075
get,3.006666666666667,1050.5886917960088,649.5,2125.0,3303.7999999999975,1520.1999999999994
set,2.61,1187.4214559386974,615.0,2204.8,3157.149999999999,1702.199999999999
adservice_pod0,48.24666666666667,10.0,19.0,25.0,17.0
adservice_pod1,47.096666666666664,6.0,21.0,31.57571428571422,18.0
adservice_pod2,48.18333333333333,9.0,21.945054945054945,30.0,18.0
cartservice_pod0,1.9033333333333333,633.0,1937.9999999999995,2873.95,1437.7499999999995
cartservice_pod1,1.9,655.0,2799.0,4159.0,2114.0
cartservice_pod2,1.8133333333333332,622.0,1825.7000000000003,2457.5999999999963,1428.1
checkoutservice_pod0,7.463333333333333,221249.22222222222,595284.2250000001,793946.3999999985,504058.4125
checkoutservice_pod1,7.466666666666667,211957.11111111112,630328.0,799539.5,511151.0
checkoutservice_pod2,7.466666666666667,202900.94444444447,512692.75,670106.0,468306.75
currencyservice_pod0,147.7,196.63987764182423,574.9153846153847,930.6861788617886,434.5737967914438
currencyservice_pod1,146.45,251.40859822189745,1131.122167487685,1798.8940972222222,814.5549773755656
currencyservice_pod2,146.63333333333333,259.60251179395635,1180.5127732482574,1856.6511894995901,838.9496915045088
emailservice_pod0,7.596666666666667,178.0,453.04999999999995,691.0,362.6124999999999
emailservice_pod1,7.206666666666667,177.0,421.74999999999994,622.0,327.425
emailservice_pod2,7.59,233.77777777777774,978.8000000000002,1669.3000000000002,671.4875000000002
frontend_pod0,89.22333333333333,80498.0520754717,218035.23978642258,302934.114827586,193252.02125506077
frontend_pod1,116.91333333333333,104227.60087719298,241204.94461538468,314553.7869565215,213524.79520832183
frontend_pod2,96.96,84769.09537403013,222925.58455648934,304729.5655944056,199382.42009100103
paymentservice_pod0,6.996666666666667,696.3333333333334,2257.6000000000004,3066.2999999999997,1761.4499999999996
paymentservice_pod1,7.1433333333333335,526.0,1393.1250000000002,2058.4499999999994,1096.4375
paymentservice_pod2,7.193333333333333,434.27777777777777,719.2,971.0,626.15
productcatalogservice_pod0,205.64666666666668,1.0,1.0,2.0,1.0
productcatalogservice_pod1,132.12,1.0,2.0,2.0,1.0
productcatalogservice_pod2,278.06,0.0,1.0,1.0,1.0
recommendationservice_pod0,73.37333333333333,4764.442636328726,51702.49283400809,68180.06512315266,26910.949137931046
recommendationservice_pod1,73.35666666666667,10563.766272189348,87458.2951048951,95901.9565517241,81184.16966928769
recommendationservice_pod2,73.39333333333333,1913.416981831665,57742.226,68510.94285714284,50520.515972222216
shippingservice_pod0,25.68,148.44444444444443,994.9775510204087,1658.179999999998,729.5874999999999
shippingservice_pod1,26.25,89.0,561.7142857142858,950.8,409.23046875
shippingservice_pod2,26.503333333333334,73.0,273.5632653061227,420.0739999999998,190.37656249999995
get_pod0,1.0166666666666666,643.0,1881.0,3497.75,1413.5
get_pod1,1.0133333333333334,640.0,2532.800000000001,4128.6,2033.499999999999
get_pod2,0.9766666666666667,662.0,1801.5999999999995,2369.599999999999,1419.5499999999997
set_pod0,0.8866666666666667,609.0,1948.0000000000002,2657.9999999999995,1497.7999999999997
set_pod1,0.8866666666666667,711.5,2955.4,4166.4,2117.0
set_pod2,0.8366666666666667,595.0,1843.4,2842.349999999997,1544.099999999999
total,300.06,146.77ms,121.66ms,282.62ms,749.05ms
