,service,rps,avg,0.50,0.75,0.90,0.99,0.95
0,adservice,21.73333333333333,20.46058282208589,2.0,11.0,19.0,64.90000000000009,25.375
1,cartservice,1.7033333333333334,1627.6164383561643,911.0,1888.5,3225.200000000004,7938.569999999991,4303.25
2,checkoutservice,7.956666666666667,192434.91537494762,132487.88888888888,221302.33333333334,402167.82500000007,1128062.72,495627.0
3,currencyservice,86.8,337.01954685099844,163.9164835164835,312.9957983193277,606.4933837429112,2407.3199999999947,1004.7673796791435
4,emailservice,7.04,501.55445075757575,201.83333333333334,424.25,1113.0,3773.180000000001,1996.9499999999994
5,frontend,102.66666666666669,317152.5723051948,314823.3437403638,500238.3445590994,611969.7764565994,894002.2592592591,704707.8289115645
6,paymentservice,6.78,670.8893805309734,464.0555555555556,671.875,1148.700000000001,3787.1200000000026,1830.5
7,productcatalogservice,208.74,0.917249528919549,0.0,1.0,1.0,3.0,2.0
8,recommendationservice,72.99666666666667,22030.883145349104,7270.804905951526,16729.60047562425,82842.46078431375,104037.19444444438,90309.02370370369
9,redis,,,,,,,0.0
10,shippingservice,26.89333333333333,464.5406544372831,110.91666666666664,429.2700000000001,1174.5448979591836,4524.339999999989,2178.423999999999
11,get,1.0033333333333334,1765.202657807309,1287.0,2262.5,3829.0000000000005,7678.47,4855.649999999997
12,set,0.7,1430.4095238095238,547.0,1016.0,2380.5,26733.800000000192,3480.6999999999975
13,total,100.11,457.72ms,432.38ms,610.30ms,735.74ms,1.30s,0.0
